Performing system checks...

System check identified no issues (0 silenced).
January 24, 2025 - 05:11:16
Django version 4.2.16, using settings 'ScriptRepo.settings'
Starting development server at http://127.0.0.1:10917/
Quit the server with CTRL-BREAK.

[24/Jan/2025 05:11:17] "GET /ScriptRepository/logout/ HTTP/1.1" 200 4164
[24/Jan/2025 05:11:20] "GET /ScriptRepository/ HTTP/1.1" 200 46324
[24/Jan/2025 05:11:22] "GET /ScriptRepository/login/ HTTP/1.1" 200 5517
[24/Jan/2025 05:11:34] "POST /ScriptRepository/login/ HTTP/1.1" 302 0
[24/Jan/2025 05:11:34] "GET /ScriptRepository/ HTTP/1.1" 200 46452
[24/Jan/2025 05:11:40] "GET /ScriptRepository/logout/ HTTP/1.1" 200 4164
