Performing system checks...

System check identified no issues (0 silenced).
December 26, 2024 - 21:10:33
Django version 4.2.16, using settings 'ScriptRepo.settings'
Starting development server at http://127.0.0.1:12030/
Quit the server with CTRL-BREAK.

[26/Dec/2024 21:10:34] "GET /ScriptRepository/ HTTP/1.1" 200 4807
[26/Dec/2024 21:10:34] "GET /ScriptRepository/static/blog/main.css HTTP/1.1" 200 1478
[26/Dec/2024 21:10:34] "GET /ScriptRepository/static/blog/logo.png HTTP/1.1" 200 2773
[26/Dec/2024 21:10:34] "GET /ScriptRepository/media/default.jpg HTTP/1.1" 200 9280
[26/Dec/2024 21:10:40] "GET /ScriptRepository/register/ HTTP/1.1" 200 6515
[26/Dec/2024 21:12:19] "POST /ScriptRepository/register/ HTTP/1.1" 302 0
[26/Dec/2024 21:12:19] "GET /ScriptRepository/login/ HTTP/1.1" 200 5733
[26/Dec/2024 21:12:25] "POST /ScriptRepository/login/ HTTP/1.1" 302 0
[26/Dec/2024 21:12:26] "GET /ScriptRepository/ HTTP/1.1" 200 4935
[26/Dec/2024 21:12:38] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:15:20] "GET /ScriptRepository/ HTTP/1.1" 200 4935
[26/Dec/2024 21:15:22] "GET /ScriptRepository/post/65/ HTTP/1.1" 200 4782
[26/Dec/2024 21:16:06] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:16:20] "GET /ScriptRepository/ HTTP/1.1" 200 4935
[26/Dec/2024 21:16:21] "GET /ScriptRepository/post/65/ HTTP/1.1" 200 4782
[26/Dec/2024 21:16:41] "GET /ScriptRepository/ HTTP/1.1" 200 4935
[26/Dec/2024 21:16:45] "GET /ScriptRepository/post/65/ HTTP/1.1" 200 4782
[26/Dec/2024 21:16:50] "GET /ScriptRepository/about/ HTTP/1.1" 200 4152
[26/Dec/2024 21:16:52] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:17:06] "GET /ScriptRepository/ HTTP/1.1" 200 4935
[26/Dec/2024 21:17:21] "GET /ScriptRepository/ HTTP/1.1" 200 4935
[26/Dec/2024 21:17:33] "GET /ScriptRepository/user/admin100 HTTP/1.1" 200 4840
[26/Dec/2024 21:17:57] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:29:19] "GET /ScriptRepository/ HTTP/1.1" 200 4935
[26/Dec/2024 21:29:22] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:30:00] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:30:00] "GET /ScriptRepository/post/67/ HTTP/1.1" 200 12022
[26/Dec/2024 21:30:06] "GET /ScriptRepository/profile/ HTTP/1.1" 200 6173
[26/Dec/2024 21:30:14] "POST /ScriptRepository/profile/ HTTP/1.1" 302 0
[26/Dec/2024 21:30:14] "GET /ScriptRepository/profile/ HTTP/1.1" 200 6358
[26/Dec/2024 21:30:16] "GET /ScriptRepository/ HTTP/1.1" 200 12635
[26/Dec/2024 21:31:37] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:32:22] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:32:23] "GET /ScriptRepository/post/68/ HTTP/1.1" 200 5723
[26/Dec/2024 21:32:26] "GET /ScriptRepository/ HTTP/1.1" 200 14040
[26/Dec/2024 21:32:44] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:33:06] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:33:07] "GET /ScriptRepository/post/69/ HTTP/1.1" 200 7242
[26/Dec/2024 21:33:10] "GET /ScriptRepository/ HTTP/1.1" 200 16964
[26/Dec/2024 21:33:13] "GET /ScriptRepository/post/69/ HTTP/1.1" 200 7242
[26/Dec/2024 21:33:14] "GET /ScriptRepository/ HTTP/1.1" 200 16964
[26/Dec/2024 21:33:35] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:35:42] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:35:43] "GET /ScriptRepository/post/70/ HTTP/1.1" 200 5731
[26/Dec/2024 21:35:44] "GET /ScriptRepository/ HTTP/1.1" 200 18377
[26/Dec/2024 21:35:55] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:36:37] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:36:38] "GET /ScriptRepository/post/71/ HTTP/1.1" 200 5217
[26/Dec/2024 21:36:40] "GET /ScriptRepository/ HTTP/1.1" 200 19276
[26/Dec/2024 21:36:41] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:36:59] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:37:00] "GET /ScriptRepository/post/72/ HTTP/1.1" 200 5347
[26/Dec/2024 21:37:01] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:37:27] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:37:28] "GET /ScriptRepository/post/73/ HTTP/1.1" 200 6082
[26/Dec/2024 21:37:30] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:38:51] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:38:52] "GET /ScriptRepository/post/74/ HTTP/1.1" 200 6437
[26/Dec/2024 21:38:54] "GET /ScriptRepository/ HTTP/1.1" 200 24188
[26/Dec/2024 21:39:03] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:39:31] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:39:32] "GET /ScriptRepository/post/75/ HTTP/1.1" 200 5665
[26/Dec/2024 21:39:56] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:40:14] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:40:14] "GET /ScriptRepository/post/76/ HTTP/1.1" 200 5142
[26/Dec/2024 21:42:29] "GET /ScriptRepository/ HTTP/1.1" 200 26359
[26/Dec/2024 21:42:39] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:43:08] "GET /ScriptRepository/ HTTP/1.1" 200 26359
[26/Dec/2024 21:43:17] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:46:50] "GET /ScriptRepository/ HTTP/1.1" 200 26359
[26/Dec/2024 21:47:06] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:47:38] "GET /ScriptRepository/ HTTP/1.1" 200 26231
[26/Dec/2024 21:47:39] "GET /ScriptRepository/media/default.jpg HTTP/1.1" 200 9280
[26/Dec/2024 21:47:39] "GET /ScriptRepository/static/blog/main.css HTTP/1.1" 200 1478
[26/Dec/2024 21:47:39] "GET /ScriptRepository/static/blog/logo.png HTTP/1.1" 200 2773
[26/Dec/2024 21:47:49] "GET /ScriptRepository/register/ HTTP/1.1" 200 6515
[26/Dec/2024 21:47:52] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:47:53] "GET /ScriptRepository/post/77/ HTTP/1.1" 200 5168
[26/Dec/2024 21:47:54] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:48:20] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:48:21] "GET /ScriptRepository/post/78/ HTTP/1.1" 200 5142
[26/Dec/2024 21:48:29] "POST /ScriptRepository/register/ HTTP/1.1" 302 0
[26/Dec/2024 21:48:29] "GET /ScriptRepository/login/ HTTP/1.1" 200 5733
[26/Dec/2024 21:48:31] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:48:34] "POST /ScriptRepository/login/ HTTP/1.1" 302 0
[26/Dec/2024 21:48:34] "GET /ScriptRepository/ HTTP/1.1" 200 28033
[26/Dec/2024 21:48:37] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:49:08] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:49:09] "GET /ScriptRepository/post/79/ HTTP/1.1" 200 5106
[26/Dec/2024 21:49:15] "GET /ScriptRepository/ HTTP/1.1" 200 28821
[26/Dec/2024 21:49:17] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:49:46] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:49:47] "GET /ScriptRepository/post/80/ HTTP/1.1" 200 5158
[26/Dec/2024 21:49:48] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:49:53] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:49:53] "GET /ScriptRepository/post/81/ HTTP/1.1" 200 5390
[26/Dec/2024 21:50:08] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:50:09] "GET /ScriptRepository/post/82/ HTTP/1.1" 200 5472
[26/Dec/2024 21:50:20] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:50:21] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:50:48] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:50:49] "GET /ScriptRepository/post/83/ HTTP/1.1" 200 5273
[26/Dec/2024 21:51:18] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:51:28] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:51:28] "GET /ScriptRepository/post/84/ HTTP/1.1" 200 5117
[26/Dec/2024 21:51:43] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:51:43] "GET /ScriptRepository/post/85/ HTTP/1.1" 200 6880
[26/Dec/2024 21:51:46] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:52:02] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:52:02] "GET /ScriptRepository/post/86/ HTTP/1.1" 200 5074
[26/Dec/2024 21:52:07] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:52:12] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:52:21] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:52:22] "GET /ScriptRepository/post/87/ HTTP/1.1" 200 5174
[26/Dec/2024 21:52:25] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:52:26] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:52:26] "GET /ScriptRepository/post/88/ HTTP/1.1" 200 5151
[26/Dec/2024 21:52:30] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:52:30] "GET /ScriptRepository/post/89/ HTTP/1.1" 200 5045
[26/Dec/2024 21:52:35] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:52:48] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:52:49] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:52:49] "GET /ScriptRepository/post/90/ HTTP/1.1" 200 5408
[26/Dec/2024 21:52:58] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:53:10] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:53:11] "GET /ScriptRepository/post/91/ HTTP/1.1" 200 5290
[26/Dec/2024 21:53:13] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:53:14] "GET /ScriptRepository/post/92/ HTTP/1.1" 200 5144
[26/Dec/2024 21:53:15] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:53:21] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:53:22] "GET /ScriptRepository/post/93/ HTTP/1.1" 200 5045
[26/Dec/2024 21:53:22] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:53:25] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:53:33] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:53:33] "GET /ScriptRepository/post/94/ HTTP/1.1" 200 5306
[26/Dec/2024 21:53:41] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:53:41] "GET /ScriptRepository/post/95/ HTTP/1.1" 200 5107
[26/Dec/2024 21:53:41] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:55:07] "GET /ScriptRepository/ HTTP/1.1" 200 44767
[26/Dec/2024 21:55:15] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:55:24] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:55:24] "GET /ScriptRepository/post/96/ HTTP/1.1" 200 5181
[26/Dec/2024 21:55:28] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:55:33] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:55:34] "GET /ScriptRepository/post/97/ HTTP/1.1" 200 5097
[26/Dec/2024 21:55:41] "GET /ScriptRepository/post/new/ HTTP/1.1" 200 5499
[26/Dec/2024 21:55:47] "POST /ScriptRepository/post/new/ HTTP/1.1" 302 0
[26/Dec/2024 21:55:48] "GET /ScriptRepository/post/98/ HTTP/1.1" 200 5141
[26/Dec/2024 21:56:23] "GET /ScriptRepository/ HTTP/1.1" 200 47232
[26/Dec/2024 21:59:40] "GET /ScriptRepository/post/98/ HTTP/1.1" 200 4866
[26/Dec/2024 22:02:14] "GET /ScriptRepository/ HTTP/1.1" 200 47232
